date_time,PM2.5,temp,wind_x,wind_y,b4_100,b5_100,frp_100,b4_250,b5_250,frp_250,0,1,2,3,4,5,6
2017-07-01 00:00:00,22.0,26.6,22.657694675916254,10.56545654351748,0.0,0.0,0.0,0.0,200.713,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 01:00:00,16.0,26.6,22.657694675916254,10.56545654351748,0.0,0.0,0.0,0.0,200.713,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 02:00:00,13.0,26.6,22.657694675916254,10.56545654351748,0.0,0.0,0.0,0.0,200.713,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 03:00:00,18.0,26.0,23.492315519647704,8.550503583141735,0.0,0.0,0.0,0.0,200.713,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 04:00:00,29.0,26.0,23.492315519647704,8.550503583141735,0.0,0.0,0.0,0.0,200.713,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 05:00:00,32.0,26.0,23.492315519647704,8.550503583141735,0.0,0.0,0.0,0.0,200.713,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 06:00:00,36.0,26.9,21.650635094610962,12.50000000000001,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 07:00:00,28.0,26.9,21.650635094610962,12.50000000000001,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 08:00:00,18.0,26.9,21.650635094610962,12.50000000000001,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 09:00:00,10.0,31.6,23.564002462952903,10.988074805258178,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 10:00:00,14.0,31.6,23.564002462952903,10.988074805258178,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 11:00:00,13.0,31.6,23.564002462952903,10.988074805258178,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 12:00:00,18.0,34.2,18.18653347947321,10.500000000000009,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 13:00:00,15.0,34.2,18.18653347947321,10.500000000000009,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 14:00:00,24.0,34.2,18.18653347947321,10.500000000000009,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 15:00:00,24.0,34.6,18.840497018646808,13.192258036074067,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 16:00:00,17.0,34.6,18.840497018646808,13.192258036074067,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 17:00:00,12.0,34.6,18.840497018646808,13.192258036074067,0.0,0.0,1109.341,1807.991,0.0,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 18:00:00,20.0,28.6,25.39371337295874,17.780869526882437,0.0,0.0,0.0,0.0,199.492,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 19:00:00,25.0,28.6,25.39371337295874,17.780869526882437,0.0,0.0,0.0,0.0,199.492,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 20:00:00,33.0,28.6,25.39371337295874,17.780869526882437,0.0,0.0,0.0,0.0,199.492,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 21:00:00,28.0,26.9,28.01184896238298,7.505752307973098,0.0,0.0,0.0,0.0,199.492,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 22:00:00,30.0,26.9,28.01184896238298,7.505752307973098,0.0,0.0,0.0,0.0,199.492,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-01 23:00:00,37.0,26.9,28.01184896238298,7.505752307973098,0.0,0.0,0.0,0.0,199.492,0.0,27.7,81.45,10.34,0.0,0.0,0.0,1.0
2017-07-02 00:00:00,43.0,26.3,25.114071483515776,6.729295172665537,0.0,0.0,0.0,0.0,199.492,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 01:00:00,24.0,26.3,25.114071483515776,6.729295172665537,0.0,0.0,0.0,0.0,199.492,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 02:00:00,42.0,26.3,25.114071483515776,6.729295172665537,0.0,0.0,0.0,0.0,199.492,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 03:00:00,41.0,25.7,29.544232590366242,5.2094453300079095,0.0,0.0,0.0,0.0,199.492,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 04:00:00,35.0,25.7,29.544232590366242,5.2094453300079095,0.0,0.0,0.0,0.0,199.492,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 05:00:00,37.0,25.7,29.544232590366242,5.2094453300079095,0.0,0.0,0.0,0.0,199.492,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 06:00:00,29.0,26.4,29.130471244363154,10.60262444309575,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 07:00:00,44.0,26.4,29.130471244363154,10.60262444309575,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 08:00:00,50.0,26.4,29.130471244363154,10.60262444309575,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 09:00:00,39.0,30.5,28.190778623577245,10.260604299770081,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 10:00:00,27.0,30.5,28.190778623577245,10.260604299770081,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 11:00:00,19.0,30.5,28.190778623577245,10.260604299770081,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 12:00:00,14.0,32.9,26.31139338200543,9.576564013118743,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 13:00:00,13.0,32.9,26.31139338200543,9.576564013118743,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 14:00:00,14.0,32.9,26.31139338200543,9.576564013118743,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 15:00:00,10.0,33.8,24.470310249989556,11.410693066998878,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 16:00:00,4.0,33.8,24.470310249989556,11.410693066998878,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 17:00:00,5.0,33.8,24.470310249989556,11.410693066998878,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 18:00:00,21.0,28.1,43.8325667160368,-3.834852680896947,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 19:00:00,31.0,28.1,43.8325667160368,-3.834852680896947,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
2017-07-02 20:00:00,36.0,28.1,43.8325667160368,-3.834852680896947,0.0,0.0,0.0,0.0,0.0,0.0,27.5,82.43,7.06,0.0,0.0,1.0,0.0
