date_time,PM2.5,temp,wind_x,wind_y,b4_100,b5_100,frp_100,b4_250,b5_250,frp_250,0,1,2,3,4
2017-07-01 00:00:00,10.0,24.6,10.72462220366569,8.999026535611552,0.0,0.0,200.713,1050.595,824.399,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 01:00:00,6.0,24.6,10.72462220366569,8.999026535611552,0.0,0.0,200.713,1050.595,824.399,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 02:00:00,6.0,24.6,10.72462220366569,8.999026535611552,0.0,0.0,200.713,1050.595,824.399,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 03:00:00,5.0,23.9,11.468128620045881,8.03007010891465,0.0,0.0,200.713,1050.595,824.399,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 04:00:00,10.0,23.9,11.468128620045881,8.03007010891465,0.0,0.0,200.713,1050.595,824.399,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 05:00:00,9.0,23.9,11.468128620045881,8.03007010891465,0.0,0.0,200.713,1050.595,824.399,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 06:00:00,6.0,25.8,13.106432708623865,9.177222981616742,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 07:00:00,7.0,25.8,13.106432708623865,9.177222981616742,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 08:00:00,8.0,25.8,13.106432708623865,9.177222981616742,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 09:00:00,10.0,29.9,14.722431864335455,8.500000000000007,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 10:00:00,8.0,29.9,14.722431864335455,8.500000000000007,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 11:00:00,7.0,29.9,14.722431864335455,8.500000000000007,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 12:00:00,6.0,31.7,15.97477455336044,5.814342436536379,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 13:00:00,9.0,31.7,15.97477455336044,5.814342436536379,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 14:00:00,5.0,31.7,15.97477455336044,5.814342436536379,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 15:00:00,5.0,30.2,21.9162833580184,1.9174263404484815,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 16:00:00,9.0,30.2,21.9162833580184,1.9174263404484815,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 17:00:00,13.0,30.2,21.9162833580184,1.9174263404484815,0.0,0.0,0.0,664.673,3870.24,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 18:00:00,14.0,26.7,19.318516525781366,5.176380902050413,0.0,0.0,0.0,2053.029,1620.439,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 19:00:00,23.0,26.7,19.318516525781366,5.176380902050413,0.0,0.0,0.0,2053.029,1620.439,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 20:00:00,24.0,26.7,19.318516525781366,5.176380902050413,0.0,0.0,0.0,2053.029,1620.439,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 21:00:00,27.0,25.5,13.925584752912856,9.750799417967789,0.0,0.0,0.0,2053.029,1620.439,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 22:00:00,24.0,25.5,13.925584752912856,9.750799417967789,0.0,0.0,0.0,2053.029,1620.439,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-01 23:00:00,13.0,25.5,13.925584752912856,9.750799417967789,0.0,0.0,0.0,2053.029,1620.439,0.0,27.6,86.05,18.48,0.0,1.0
2017-07-02 00:00:00,9.0,24.6,16.45448267190433,9.500000000000009,0.0,0.0,0.0,2053.029,1620.439,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 01:00:00,6.0,24.6,16.45448267190433,9.500000000000009,0.0,0.0,0.0,2053.029,1620.439,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 02:00:00,9.0,24.6,16.45448267190433,9.500000000000009,0.0,0.0,0.0,2053.029,1620.439,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 03:00:00,15.0,23.9,19.938771314806303,9.297601758295382,0.0,0.0,0.0,2053.029,1620.439,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 04:00:00,13.0,23.9,19.938771314806303,9.297601758295382,0.0,0.0,0.0,2053.029,1620.439,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 05:00:00,6.0,23.9,19.938771314806303,9.297601758295382,0.0,0.0,0.0,2053.029,1620.439,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 06:00:00,4.0,25.5,25.371700761219522,9.234543869793074,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 07:00:00,6.0,25.5,25.371700761219522,9.234543869793074,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 08:00:00,7.0,25.5,25.371700761219522,9.234543869793074,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 09:00:00,7.0,29.8,29.943700614961116,8.02339039817814,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 10:00:00,7.0,29.8,29.943700614961116,8.02339039817814,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 11:00:00,7.0,29.8,29.943700614961116,8.02339039817814,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 12:00:00,8.0,32.5,24.90486745229364,2.178893568691456,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 13:00:00,8.0,32.5,24.90486745229364,2.178893568691456,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 14:00:00,7.0,32.5,24.90486745229364,2.178893568691456,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 15:00:00,4.0,31.9,24.90486745229364,-2.1788935686914472,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 16:00:00,6.0,31.9,24.90486745229364,-2.1788935686914472,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
2017-07-02 17:00:00,9.0,31.9,24.90486745229364,-2.1788935686914472,0.0,0.0,0.0,882.981,218.929,0.0,28.2,80.0,2.82,0.0,1.0
