date_time,PM2.5,temp,wind_x,wind_y,b4_100,b5_100,frp_100,b4_250,b5_250,frp_250,0,1,2,3,4,5
2017-07-01 00:00:00,5.0,26.5,22.936257240091763,16.0601402178293,0.0,0.0,0.0,0.0,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 01:00:00,7.0,26.5,22.936257240091763,16.0601402178293,0.0,0.0,0.0,0.0,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 02:00:00,4.0,26.5,22.936257240091763,16.0601402178293,0.0,0.0,0.0,0.0,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 03:00:00,9.0,25.8,26.282925824062854,12.255929590480276,0.0,0.0,0.0,0.0,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 04:00:00,8.0,25.8,26.282925824062854,12.255929590480276,0.0,0.0,0.0,0.0,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 05:00:00,6.0,25.8,26.282925824062854,12.255929590480276,0.0,0.0,0.0,0.0,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 06:00:00,8.0,26.5,25.376618037026205,11.833311328739576,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 07:00:00,6.0,26.5,25.376618037026205,11.833311328739576,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 08:00:00,7.0,26.5,25.376618037026205,11.833311328739576,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 09:00:00,7.0,29.5,26.282925824062854,12.255929590480276,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 10:00:00,4.0,29.5,26.282925824062854,12.255929590480276,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 11:00:00,1.0,29.5,26.282925824062854,12.255929590480276,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 12:00:00,5.0,31.8,26.846787517317594,15.500000000000014,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 13:00:00,6.0,31.8,26.846787517317594,15.500000000000014,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 14:00:00,5.0,31.8,26.846787517317594,15.500000000000014,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
2017-07-01 15:00:00,4.0,32.8,24.248711305964278,14.000000000000012,0.0,0.0,2018.432,898.9,0.0,0.0,27.6,84.35,0.26,0.0,0.0,0.0
